timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-11 15:35:30 (Turn 1: 00:12),E5515,1,Buy,XOM,50,10000.0,6781.5,0.0,3218.5,10000.0,0,50,0,0,0.0,3218.5,0.0,0.0
2025-04-11 15:36:41 (Turn 2: 00:08),E5515,2,Buy,PG,25,6781.5,3065.0,3174.0,6890.5,9955.5,0,50,0,25,0.0,3174.0,0.0,3716.5
2025-04-11 15:37:38 (Turn 3: 00:13),E5515,3,Buy,NFLX,5,3065.0,1.5499999999997272,6882.75,9946.2,9947.75,0,50,5,25,0.0,3079.0,3063.4500000000003,3803.75
2025-04-11 15:38:23 (Turn 4: 00:32),E5515,4,Sell,PG,25,1.5499999999997272,3973.05,10060.2,6088.7,10061.75,0,50,5,0,0.0,3063.5,3025.2,0.0
2025-04-11 15:39:23 (Turn 5: 00:34),E5515,5,Sell,NFLX,5,3973.05,7038.65,6160.1,3094.5,10133.15,0,50,0,0,0.0,3094.5,0.0,0.0
2025-04-11 15:40:27 (Turn 6: 00:34),E5515,6,Sell,XOM,50,7038.65,10376.15,3337.5,0.0,10376.15,0,0,0,0,0.0,0.0,0.0,0.0
