timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-14 12:37:15 (Turn 1: 00:16),N2314,1,Buy,TSLA,1,10000.0,9662.2,0.0,337.8,10000.0,1,0,0,0,337.8,0.0,0.0,0.0
2025-04-14 12:37:24 (Turn 1: 00:07),N2314,1,Buy,XOM,1,9662.2,9597.83,337.8,402.17,10000.0,1,1,0,0,337.8,64.37,0.0,0.0
2025-04-14 12:37:27 (Turn 1: 00:04),N2314,1,Buy,NFLX,1,9597.83,8918.5,402.17,1081.5,10000.0,1,1,1,0,337.8,64.37,679.33,0.0
2025-04-14 12:37:40 (Turn 2: 00:54),N2314,2,Buy,TSLA,1,8918.5,8546.5,1093.77,1465.77,10012.27,2,1,1,0,744.0,63.48,658.29,0.0
2025-04-14 12:38:03 (Turn 2: 00:31),N2314,2,Buy,PG,3,8546.5,8100.52,1465.77,1911.75,10012.27,2,1,1,3,744.0,63.48,658.29,445.98
2025-04-14 12:38:19 (Turn 2: 00:15),N2314,2,Buy,TSLA,3,8100.52,6984.52,1911.75,3027.75,10012.27,5,1,1,3,1860.0,63.48,658.29,445.98
2025-04-14 12:38:25 (Turn 2: 00:10),N2314,2,Buy,XOM,3,6984.52,6794.080000000001,3027.75,3218.19,10012.27,5,4,1,3,1860.0,253.92,658.29,445.98
2025-04-14 12:39:01 (Turn 3: 00:37),N2314,3,Buy,NFLX,3,6794.080000000001,4956.01,2997.16,4835.2300000000005,9791.240000000002,5,4,4,3,1681.6999999999998,246.32,2450.76,456.4500000000001
2025-04-14 12:39:19 (Turn 3: 00:19),N2314,3,Sell,PG,3,4956.01,5412.46,4835.2300000000005,4378.78,9791.24,5,4,4,0,1681.6999999999998,246.32,2450.76,0.0
2025-04-14 12:39:34 (Turn 3: 00:04),N2314,3,Buy,NFLX,3,5412.46,3574.39,4378.78,6216.849999999999,9791.24,5,4,7,0,1681.6999999999998,246.32,4288.83,0.0
2025-04-14 12:41:16 (Turn 5: 00:29),N2314,5,Buy,NFLX,3,3574.39,1735.0299999999995,6362.650000000001,8202.01,9937.04,5,4,10,0,1823.25,247.56,6131.2,0.0
2025-04-14 12:41:23 (Turn 5: 00:21),N2314,5,Buy,PG,3,1735.0299999999995,1249.12,8202.01,8687.92,9937.04,5,4,10,3,1823.25,247.56,6131.2,485.91
2025-04-14 12:41:34 (Turn 5: 00:10),N2314,5,Sell,TSLA,2,1249.12,1978.42,8687.92,7958.62,9937.04,3,4,10,3,1093.9499999999998,247.56,6131.2,485.91
2025-04-14 12:41:56 (Turn 6: 00:51),N2314,6,Sell,TSLA,3,1978.42,3066.55,7522.96,6434.83,9501.38,0,4,10,3,0.0,267.0,5675.2,492.63
2025-04-14 12:42:02 (Turn 6: 00:46),N2314,6,Sell,XOM,4,3066.55,3333.55,6434.83,6167.83,9501.38,0,0,10,3,0.0,0.0,5675.2,492.63
2025-04-14 12:42:05 (Turn 6: 00:43),N2314,6,Sell,NFLX,4,3333.55,5603.629999999999,6167.83,3897.75,9501.38,0,0,6,3,0.0,0.0,3405.12,492.63
2025-04-14 12:42:08 (Turn 6: 00:39),N2314,6,Sell,NFLX,4,5603.629999999999,7873.709999999999,3897.75,1627.67,9501.38,0,0,2,3,0.0,0.0,1135.04,492.63
2025-04-14 12:42:10 (Turn 6: 00:37),N2314,6,Sell,NFLX,2,7873.709999999999,9008.75,1627.67,492.63,9501.38,0,0,0,3,0.0,0.0,0.0,492.63
2025-04-14 12:42:18 (Turn 6: 00:29),N2314,6,Sell,PG,3,9008.75,9501.38,492.63,0.0,9501.38,0,0,0,0,0.0,0.0,0.0,0.0
