timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-09 15:25:25 (Turn 1: 00:24),E7206,1,Buy,XOM,35,10000.0,7747.049999999999,0.0,2252.9500000000003,10000.0,0,35,0,0,0.0,2252.9500000000003,0.0,0.0
2025-04-09 15:26:24 (Turn 2: 00:28),E7206,2,Buy,PG,20,7747.049999999999,4773.849999999999,2221.8,5195.0,9968.85,0,35,0,20,0.0,2221.8,0.0,2973.2
2025-04-09 15:27:28 (Turn 3: 00:29),E7206,3,Buy,XOM,35,4773.849999999999,2618.55,5198.299999999999,7353.599999999999,9972.15,0,70,0,20,0.0,4310.599999999999,0.0,3043.0
2025-04-09 15:27:44 (Turn 3: 00:13),E7206,3,Buy,NFLX,3,2618.55,780.4799999999996,7353.599999999999,9191.67,9972.15,0,70,3,20,0.0,4310.599999999999,1838.07,3043.0
2025-04-09 15:28:33 (Turn 4: 00:28),E7206,4,Sell,PG,20,780.4799999999996,3957.68,9281.22,6104.02,10061.7,0,70,3,0,0.0,4288.900000000001,1815.12,0.0
2025-04-09 15:28:55 (Turn 4: 00:06),E7206,4,Buy,XOM,20,3957.68,2732.28,6104.02,7329.42,10061.7,0,90,3,0,0.0,5514.3,1815.12,0.0
2025-04-09 15:29:38 (Turn 5: 00:26),E7206,5,Sell,XOM,90,2732.28,8302.380000000001,7409.460000000001,1839.36,10141.740000000002,0,0,3,0,0.0,0.0,1839.36,0.0
2025-04-09 15:29:58 (Turn 5: 00:05),E7206,5,Buy,PG,40,8302.380000000001,1823.5800000000008,1839.36,8318.16,10141.740000000002,0,0,3,40,0.0,0.0,1839.36,6478.8
2025-04-09 15:30:18 (Turn 6: 00:49),E7206,6,Sell,NFLX,3,1823.5800000000008,3526.140000000001,8270.960000000001,6568.400000000001,10094.54,0,0,0,40,0.0,0.0,0.0,6568.400000000001
2025-04-09 15:30:29 (Turn 6: 00:37),E7206,6,Sell,PG,40,3526.140000000001,10094.54,6568.400000000001,0.0,10094.54,0,0,0,0,0.0,0.0,0.0,0.0
