timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-10 13:14:55 (Turn 2: 00:05),E2514,2,Buy,XOM,1,10000.0,9936.52,0.0,63.48,10000.0,0,1,0,0,0.0,63.48,0.0,0.0
2025-04-10 13:15:18 (Turn 3: 00:47),E2514,3,Buy,TSLA,1,9936.52,9600.18,61.58,397.92,9998.1,1,1,0,0,336.34,61.58,0.0,0.0
2025-04-10 13:15:56 (Turn 3: 00:09),E2514,3,Buy,NFLX,5,9600.18,6536.73,397.92,3461.3700000000003,9998.1,1,1,5,0,336.34,61.58,3063.4500000000003,0.0
2025-04-10 13:16:50 (Turn 4: 00:19),E2514,4,Buy,NFLX,2,6536.73,5326.65,3411.8,4621.88,9948.53,1,1,7,0,325.33,61.27,4235.28,0.0
2025-04-10 13:17:31 (Turn 5: 00:41),E2514,5,Sell,TSLA,1,5326.65,5691.299999999999,4718.38,4353.7300000000005,10045.03,0,1,7,0,0.0,61.89,4291.84,0.0
2025-04-10 13:17:52 (Turn 5: 00:20),E2514,5,Buy,NFLX,2,5691.299999999999,4465.06,4353.7300000000005,5579.97,10045.03,0,1,9,0,0.0,61.89,5518.08,0.0
2025-04-10 13:18:05 (Turn 5: 00:07),E2514,5,Sell,XOM,1,4465.06,4526.95,5579.97,5518.08,10045.03,0,0,9,0,0.0,0.0,5518.08,0.0
2025-04-10 13:18:36 (Turn 6: 00:43),E2514,6,Sell,NFLX,9,4526.95,9634.63,5107.68,0.0,9634.63,0,0,0,0,0.0,0.0,0.0,0.0
