timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-12 10:05:28 (Turn 1: 00:09),N6910,1,Buy,TSLA,10,10000.0,6622.0,0.0,3378.0,10000.0,10,0,0,0,3378.0,0.0,0.0,0.0
2025-04-12 10:06:18 (Turn 2: 00:25),N6910,2,Buy,PG,20,6622.0,3648.8,3720.0,6693.2,10342.0,10,0,0,20,3720.0,0.0,0.0,2973.2
2025-04-12 10:06:41 (Turn 2: 00:01),N6910,2,Sell,TSLA,5,3648.8,5508.8,6693.2,4833.2,10342.0,5,0,0,20,1860.0,0.0,0.0,2973.2
2025-04-12 10:07:11 (Turn 3: 00:37),N6910,3,Buy,XOM,15,5508.8,4585.1,4724.7,5648.4,10233.5,5,15,0,20,1681.6999999999998,923.7,0.0,3043.0
2025-04-12 10:07:16 (Turn 3: 00:32),N6910,3,Buy,XOM,15,4585.1,3661.400000000001,5648.4,6572.099999999999,10233.5,5,30,0,20,1681.6999999999998,1847.4,0.0,3043.0
2025-04-12 10:07:22 (Turn 3: 00:26),N6910,3,Sell,XOM,5,3661.400000000001,3969.3000000000006,6572.099999999999,6264.2,10233.5,5,25,0,20,1681.6999999999998,1539.5,0.0,3043.0
2025-04-12 10:07:27 (Turn 3: 00:21),N6910,3,Buy,PG,5,3969.3000000000006,3208.5500000000006,6264.2,7024.95,10233.5,5,25,0,25,1681.6999999999998,1539.5,0.0,3803.75
2025-04-12 10:07:35 (Turn 3: 00:12),N6910,3,Sell,TSLA,5,3208.5500000000006,4890.25,7024.95,5343.25,10233.5,0,25,0,25,0.0,1539.5,0.0,3803.75
2025-04-12 10:07:44 (Turn 3: 00:04),N6910,3,Sell,XOM,5,4890.25,5198.15,5343.25,5035.35,10233.5,0,20,0,25,0.0,1231.6,0.0,3803.75
2025-04-12 10:08:13 (Turn 4: 00:38),N6910,4,Buy,PG,10,5198.15,3609.5499999999993,5196.900000000001,6785.5,10395.05,0,20,0,35,0.0,1225.4,0.0,5560.1
2025-04-12 10:08:18 (Turn 4: 00:33),N6910,4,Sell,XOM,10,3609.5499999999993,4222.249999999999,6785.5,6172.8,10395.05,0,10,0,35,0.0,612.7,0.0,5560.1
2025-04-12 10:08:41 (Turn 4: 00:11),N6910,4,Sell,PG,10,4222.249999999999,5810.849999999999,6172.8,4584.200000000001,10395.05,0,10,0,25,0.0,612.7,0.0,3971.500000000001
2025-04-12 10:08:44 (Turn 4: 00:07),N6910,4,Sell,PG,10,5810.849999999999,7399.45,4584.200000000001,2995.6000000000004,10395.05,0,10,0,15,0.0,612.7,0.0,2382.9
2025-04-12 10:08:46 (Turn 4: 00:05),N6910,4,Buy,PG,10,7399.45,5810.849999999999,2995.6000000000004,4584.200000000001,10395.05,0,10,0,25,0.0,612.7,0.0,3971.500000000001
2025-04-12 10:09:31 (Turn 5: 00:24),N6910,5,Buy,PG,20,5810.849999999999,2571.45,4668.15,7907.549999999999,10478.999999999998,0,10,0,45,0.0,618.9,0.0,7288.65
2025-04-12 10:09:42 (Turn 5: 00:13),N6910,5,Buy,XOM,20,2571.45,1333.6499999999994,7907.549999999999,9145.35,10479.0,0,30,0,45,0.0,1856.7,0.0,7288.65
2025-04-12 10:10:13 (Turn 6: 00:46),N6910,6,Sell,XOM,30,1333.6499999999994,3336.15,9391.95,7389.450000000001,10725.6,0,0,0,45,0.0,0.0,0.0,7389.450000000001
2025-04-12 10:10:21 (Turn 6: 00:38),N6910,6,Sell,PG,45,3336.15,10725.6,7389.450000000001,0.0,10725.6,0,0,0,0,0.0,0.0,0.0,0.0
