timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-08 12:03:40 (Turn 1: 00:18),N5202,1,Buy,XOM,7,10000.0,9549.41,0.0,450.59,10000.0,0,7,0,0,0.0,450.59,0.0,0.0
2025-04-08 12:04:27 (Turn 2: 00:35),N5202,2,Buy,PG,7,9549.41,8508.79,444.36,1484.9799999999998,9993.77,0,7,0,7,0.0,444.36,0.0,1040.62
2025-04-08 12:04:45 (Turn 2: 00:17),N5202,2,Buy,TSLA,2,8508.79,7764.790000000001,1484.9799999999998,2228.98,9993.77,2,7,0,7,744.0,444.36,0.0,1040.62
2025-04-08 12:05:28 (Turn 3: 00:38),N5202,3,Buy,NFLX,5,7764.790000000001,4701.34,2168.79,5232.24,9933.58,2,7,5,7,672.68,431.06,3063.4500000000003,1065.05
2025-04-08 12:05:34 (Turn 3: 00:31),N5202,3,Buy,XOM,5,4701.34,4393.4400000000005,5232.24,5540.14,9933.580000000002,2,12,5,7,672.68,738.96,3063.4500000000003,1065.05
2025-04-08 12:06:04 (Turn 3: 00:02),N5202,3,Buy,NFLX,5,4393.4400000000005,1329.9900000000002,5540.14,8603.59,9933.58,2,12,10,7,672.68,738.96,6126.900000000001,1065.05
2025-04-08 12:07:51 (Turn 5: 00:28),N5202,5,Buy,XOM,4,1329.9900000000002,1082.4300000000003,8736.97,8984.529999999999,10066.96,2,16,10,7,729.3,990.24,6131.2,1133.79
2025-04-08 12:07:55 (Turn 5: 00:23),N5202,5,Buy,PG,5,1082.4300000000003,272.58000000000027,8984.529999999999,9794.38,10066.96,2,16,10,12,729.3,990.24,6131.2,1943.64
2025-04-08 12:08:05 (Turn 5: 00:14),N5202,5,Buy,PG,1,272.58000000000027,110.61000000000028,9794.38,9956.35,10066.96,2,16,10,13,729.3,990.24,6131.2,2105.61
2025-04-08 12:08:08 (Turn 5: 00:10),N5202,5,Buy,XOM,1,110.61000000000028,48.72000000000027,9956.35,10018.24,10066.96,2,17,10,13,729.3,1052.13,6131.2,2105.61
2025-04-08 12:08:29 (Turn 6: 00:54),N5202,6,Sell,TSLA,2,48.72000000000027,774.1400000000002,9670.1,8944.68,9718.82,0,17,10,13,0.0,1134.75,5675.2,2134.73
2025-04-08 12:08:36 (Turn 6: 00:46),N5202,6,Sell,XOM,17,774.1400000000002,1908.8900000000003,8944.68,7809.93,9718.82,0,0,10,13,0.0,0.0,5675.2,2134.73
2025-04-08 12:08:44 (Turn 6: 00:38),N5202,6,Sell,NFLX,10,1908.8900000000003,7584.09,7809.93,2134.73,9718.82,0,0,0,13,0.0,0.0,0.0,2134.73
2025-04-08 12:08:51 (Turn 6: 00:31),N5202,6,Sell,PG,13,7584.09,9718.82,2134.73,0.0,9718.82,0,0,0,0,0.0,0.0,0.0,0.0
