timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-12 16:04:28 (Turn 1: 00:35),N3916,1,Buy,TSLA,5,10000.0,8311.0,0.0,1689.0,10000.0,5,0,0,0,1689.0,0.0,0.0,0.0
2025-04-12 16:04:53 (Turn 1: 00:10),N3916,1,Buy,XOM,2,8311.0,8182.26,1689.0,1817.74,10000.0,5,2,0,0,1689.0,128.74,0.0,0.0
2025-04-12 16:05:37 (Turn 2: 00:29),N3916,2,Buy,PG,20,8182.26,5209.06,1986.96,4960.16,10169.22,5,2,0,20,1860.0,126.96,0.0,2973.2
2025-04-12 16:05:51 (Turn 2: 00:15),N3916,2,Buy,XOM,10,5209.06,4574.26,4960.16,5594.96,10169.22,5,12,0,20,1860.0,761.76,0.0,2973.2
2025-04-12 16:06:37 (Turn 3: 00:33),N3916,3,Buy,NFLX,4,4574.26,2123.5,5463.66,7914.42,10037.92,5,12,4,20,1681.6999999999998,738.96,2450.76,3043.0
2025-04-12 16:07:05 (Turn 3: 00:05),N3916,3,Sell,XOM,6,2123.5,2492.98,7914.42,7544.94,10037.92,5,6,4,20,1681.6999999999998,369.48,2450.76,3043.0
2025-04-12 16:07:41 (Turn 4: 00:35),N3916,4,Sell,TSLA,5,2492.98,4119.63,7591.63,5964.9800000000005,10084.61,0,6,4,20,0.0,367.62,2420.16,3177.2000000000003
2025-04-12 16:08:00 (Turn 4: 00:15),N3916,4,Sell,PG,10,4119.63,5708.2300000000005,5964.9800000000005,4376.38,10084.61,0,6,4,10,0.0,367.62,2420.16,1588.6
2025-04-12 16:08:45 (Turn 5: 00:33),N3916,5,Sell,NFLX,4,5708.2300000000005,8160.710000000001,4443.52,1991.04,10151.75,0,6,0,10,0.0,371.34,0.0,1619.7
2025-04-12 16:09:15 (Turn 5: 00:04),N3916,5,Sell,PG,10,8160.710000000001,9780.410000000002,1991.04,371.34,10151.750000000002,0,6,0,0,0.0,371.34,0.0,0.0
2025-04-12 16:09:33 (Turn 6: 00:49),N3916,6,Sell,XOM,6,9780.410000000002,10180.910000000002,400.5,0.0,10180.910000000002,0,0,0,0,0.0,0.0,0.0,0.0
