timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-08 12:29:11 (Turn 1: 00:40),E6403,1,Buy,XOM,10,10000.0,9356.3,0.0,643.7,10000.0,0,10,0,0,0.0,643.7,0.0,0.0
2025-04-08 12:30:26 (Turn 2: 00:28),E6403,2,Buy,PG,10,9356.3,7869.699999999999,634.8,2121.4,9991.1,0,10,0,10,0.0,634.8,0.0,1486.6
2025-04-08 12:31:15 (Turn 3: 00:43),E6403,3,Buy,XOM,25,7869.699999999999,6330.199999999999,2137.3,3676.8,10006.999999999998,0,35,0,10,0.0,2155.3,0.0,1521.5
2025-04-08 12:31:34 (Turn 3: 00:24),E6403,3,Buy,NFLX,2,6330.199999999999,5104.819999999999,3676.8,4902.18,10007.0,0,35,2,10,0.0,2155.3,1225.38,1521.5
2025-04-08 12:33:00 (Turn 4: 00:01),E6403,4,Buy,NFLX,2,5104.819999999999,3894.739999999999,4943.13,6153.21,10047.95,0,35,4,10,0.0,2144.4500000000003,2420.16,1588.6
2025-04-08 12:33:31 (Turn 5: 00:33),E6403,5,Buy,XOM,10,3894.739999999999,3275.839999999999,6238.33,6857.2300000000005,10133.07,0,45,4,10,0.0,2785.05,2452.48,1619.7
2025-04-08 12:34:23 (Turn 6: 00:45),E6403,6,Sell,XOM,45,3275.839999999999,6279.589999999998,6915.93,3912.18,10191.77,0,0,4,10,0.0,0.0,2270.08,1642.1
2025-04-08 12:34:28 (Turn 6: 00:40),E6403,6,Sell,NFLX,4,6279.589999999998,8549.669999999998,3912.18,1642.1,10191.77,0,0,0,10,0.0,0.0,0.0,1642.1
2025-04-08 12:34:35 (Turn 6: 00:33),E6403,6,Sell,PG,10,8549.669999999998,10191.77,1642.1,0.0,10191.77,0,0,0,0,0.0,0.0,0.0,0.0
