timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-12 15:21:22 (Turn 1: 00:18),E0712,1,Buy,XOM,15,10000.0,9034.45,0.0,965.55,10000.0,0,15,0,0,0.0,965.55,0.0,0.0
2025-04-12 15:21:32 (Turn 1: 00:09),E0712,1,Buy,NFLX,5,9034.45,5637.800000000001,965.55,4362.2,10000.0,0,15,5,0,0.0,965.55,3396.65,0.0
2025-04-12 15:21:34 (Turn 1: 00:06),E0712,1,Buy,PG,5,5637.800000000001,4900.800000000001,4362.2,5099.2,10000.0,0,15,5,5,0.0,965.55,3396.65,737.0
2025-04-12 15:22:11 (Turn 2: 00:35),E0712,2,Buy,TSLA,2,4900.800000000001,4156.800000000001,4986.95,5730.95,9887.75,2,15,5,5,744.0,952.2,3291.45,743.3
2025-04-12 15:22:33 (Turn 2: 00:12),E0712,2,Buy,PG,5,4156.800000000001,3413.500000000001,5730.95,6474.25,9887.75,2,15,5,10,744.0,952.2,3291.45,1486.6
2025-04-12 15:23:22 (Turn 3: 00:27),E0712,3,Buy,XOM,5,3413.500000000001,3105.600000000001,6181.33,6489.2300000000005,9594.830000000002,2,20,5,10,672.68,1231.6,3063.4500000000003,1521.5
2025-04-12 15:23:37 (Turn 3: 00:11),E0712,3,Sell,PG,10,3105.600000000001,4627.1,6489.2300000000005,4967.7300000000005,9594.830000000002,2,20,5,0,672.68,1231.6,3063.4500000000003,0.0
2025-04-12 15:23:47 (Turn 3: 00:02),E0712,3,Buy,XOM,10,4627.1,4011.3,4967.7300000000005,5583.53,9594.83,2,30,5,0,672.68,1847.4,3063.4500000000003,0.0
2025-04-12 15:24:22 (Turn 4: 00:31),E0712,4,Buy,PG,10,4011.3,2422.7,5513.96,7102.56,9525.26,2,30,5,10,650.66,1838.1,3025.2,1588.6
2025-04-12 15:24:37 (Turn 4: 00:15),E0712,4,Buy,XOM,5,2422.7,2116.35,7102.56,7408.91,9525.26,2,35,5,10,650.66,2144.4500000000003,3025.2,1588.6
2025-04-12 15:25:19 (Turn 5: 00:37),E0712,5,Buy,TSLA,4,2116.35,657.75,7580.75,9039.35,9697.1,6,35,5,10,2187.9,2166.15,3065.6,1619.7
2025-04-12 15:25:25 (Turn 5: 00:31),E0712,5,Buy,XOM,4,657.75,410.19,9039.35,9286.91,9697.1,6,39,5,10,2187.9,2413.71,3065.6,1619.7
2025-04-12 15:25:38 (Turn 5: 00:18),E0712,5,Buy,PG,2,410.19,86.25,9286.91,9610.85,9697.1,6,39,5,12,2187.9,2413.71,3065.6,1943.64
2025-04-12 15:26:07 (Turn 6: 00:53),E0712,6,Sell,TSLA,6,86.25,2262.51,9587.63,7411.37,9673.88,0,39,5,12,0.0,2603.25,2837.6,1970.52
2025-04-12 15:26:18 (Turn 6: 00:42),E0712,6,Sell,XOM,39,2262.51,4865.76,7411.37,4808.12,9673.88,0,0,5,12,0.0,0.0,2837.6,1970.52
2025-04-12 15:26:25 (Turn 6: 00:35),E0712,6,Sell,NFLX,5,4865.76,7703.360000000001,4808.12,1970.52,9673.88,0,0,0,12,0.0,0.0,0.0,1970.52
2025-04-12 15:26:32 (Turn 6: 00:28),E0712,6,Sell,PG,12,7703.360000000001,9673.88,1970.52,0.0,9673.88,0,0,0,0,0.0,0.0,0.0,0.0
