timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-14 11:49:40 (Turn 1: 00:18),E8328,1,Buy,NFLX,3,10000.0,7962.01,0.0,2037.99,10000.0,0,0,3,0,0.0,0.0,2037.99,0.0
2025-04-14 11:49:56 (Turn 1: 00:02),E8328,1,Buy,XOM,10,7962.01,7318.31,2037.99,2681.6900000000005,10000.0,0,10,3,0,0.0,643.7,2037.99,0.0
2025-04-14 11:50:17 (Turn 2: 00:44),E8328,2,Sell,NFLX,1,7318.31,7976.6,2609.67,1951.38,9927.98,0,10,2,0,0.0,634.8,1316.58,0.0
2025-04-14 11:50:28 (Turn 2: 00:32),E8328,2,Sell,NFLX,2,7976.6,9293.18,1951.38,634.8,9927.98,0,10,0,0,0.0,634.8,0.0,0.0
2025-04-14 11:51:22 (Turn 3: 00:42),E8328,3,Buy,XOM,10,9293.18,8677.380000000001,615.8,1231.6,9908.98,0,20,0,0,0.0,1231.6,0.0,0.0
2025-04-14 11:51:54 (Turn 3: 00:10),E8328,3,Buy,XOM,10,8677.380000000001,8061.580000000001,1231.6,1847.4,9908.98,0,30,0,0,0.0,1847.4,0.0,0.0
2025-04-14 11:52:38 (Turn 4: 00:29),E8328,4,Buy,NFLX,4,8061.580000000001,5641.420000000001,1838.1,4258.26,9899.68,0,30,4,0,0.0,1838.1,2420.16,0.0
2025-04-14 11:53:00 (Turn 4: 00:07),E8328,4,Sell,XOM,10,5641.420000000001,6254.120000000001,4258.26,3645.56,9899.68,0,20,4,0,0.0,1225.4,2420.16,0.0
2025-04-14 11:53:45 (Turn 5: 00:25),E8328,5,Sell,NFLX,4,6254.120000000001,8706.6,3690.28,1237.8,9944.4,0,20,0,0,0.0,1237.8,0.0,0.0
2025-04-14 11:54:25 (Turn 6: 00:48),E8328,6,Sell,XOM,20,8706.6,10041.6,1335.0,0.0,10041.6,0,0,0,0,0.0,0.0,0.0,0.0
