timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-10 12:17:41 (Turn 1: 00:16),N5804,1,Buy,XOM,10,10000.0,9356.3,0.0,643.7,10000.0,0,10,0,0,0.0,643.7,0.0,0.0
2025-04-10 12:18:34 (Turn 2: 00:28),N5804,2,Buy,PG,10,9356.3,7869.699999999999,634.8,2121.4,9991.1,0,10,0,10,0.0,634.8,0.0,1486.6
2025-04-10 12:19:52 (Turn 3: 00:14),N5804,3,Buy,NFLX,8,7869.699999999999,2968.1799999999985,2137.3,7038.820000000001,10007.0,0,10,8,10,0.0,615.8,4901.52,1521.5
2025-04-10 12:20:55 (Turn 4: 00:14),N5804,4,Sell,PG,5,2968.1799999999985,3762.479999999999,7041.62,6247.32,10009.8,0,10,8,5,0.0,612.7,4840.32,794.3000000000001
2025-04-10 12:21:48 (Turn 5: 00:24),N5804,5,Sell,NFLX,4,3762.479999999999,6214.959999999999,6333.71,3881.23,10096.19,0,10,4,5,0.0,618.9,2452.48,809.85
2025-04-10 12:22:04 (Turn 5: 00:09),N5804,5,Buy,XOM,15,6214.959999999999,5286.609999999999,3881.23,4809.58,10096.19,0,25,4,5,0.0,1547.25,2452.48,809.85
2025-04-10 12:22:33 (Turn 6: 00:43),N5804,6,Sell,XOM,25,5286.609999999999,6955.359999999999,4759.88,3091.13,10046.489999999998,0,0,4,5,0.0,0.0,2270.08,821.0500000000001
2025-04-10 12:22:40 (Turn 6: 00:36),N5804,6,Sell,NFLX,4,6955.359999999999,9225.44,3091.13,821.0500000000001,10046.489999999998,0,0,0,5,0.0,0.0,0.0,821.0500000000001
2025-04-10 12:22:46 (Turn 6: 00:30),N5804,6,Sell,PG,5,9225.44,10046.489999999998,821.0500000000001,0.0,10046.489999999998,0,0,0,0,0.0,0.0,0.0,0.0
