timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-16 15:42:04 (Turn 1: 00:15),E9036,1,Buy,XOM,50,10000.0,6781.5,0.0,3218.5,10000.0,0,50,0,0,0.0,3218.5,0.0,0.0
2025-04-16 15:43:15 (Turn 2: 00:09),E9036,2,Buy,PG,25,6781.5,3065.0,3174.0,6890.5,9955.5,0,50,0,25,0.0,3174.0,0.0,3716.5
2025-04-16 15:44:17 (Turn 3: 00:10),E9036,3,Buy,PG,10,3065.0,1543.5,6882.75,8404.25,9947.75,0,50,0,35,0.0,3079.0,0.0,5325.25
2025-04-16 15:45:26 (Turn 4: 00:03),E9036,4,Buy,PG,9,1543.5,113.75999999999976,8623.6,10053.34,10167.1,0,50,0,44,0.0,3063.5,0.0,6989.84
2025-04-16 15:46:13 (Turn 5: 00:19),E9036,5,Buy,XOM,1,113.75999999999976,51.86999999999976,10221.18,10283.07,10334.94,0,51,0,44,0.0,3156.39,0.0,7126.68
2025-04-16 15:46:50 (Turn 6: 00:45),E9036,6,Sell,XOM,51,51.86999999999976,3456.12,10629.490000000002,7225.240000000001,10681.36,0,0,0,44,0.0,0.0,0.0,7225.240000000001
2025-04-16 15:47:05 (Turn 6: 00:31),E9036,6,Sell,PG,44,3456.12,10681.36,7225.240000000001,0.0,10681.36,0,0,0,0,0.0,0.0,0.0,0.0
