timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-16 15:03:13 (Turn 1: 00:22),E9535,1,Buy,XOM,30,10000.0,8068.9,0.0,1931.1,10000.0,0,30,0,0,0.0,1931.1,0.0,0.0
2025-04-16 15:04:32 (Turn 2: 00:08),E9535,2,Buy,PG,25,8068.9,4352.4,1904.4,5620.9,9973.3,0,30,0,25,0.0,1904.4,0.0,3716.5
2025-04-16 15:05:38 (Turn 3: 00:07),E9535,3,Buy,NFLX,5,4352.4,1288.9499999999994,5651.15,8714.6,10003.55,0,30,5,25,0.0,1847.4,3063.4500000000003,3803.75
2025-04-16 15:06:37 (Turn 4: 00:15),E9535,4,Sell,PG,10,1288.9499999999994,2877.5499999999997,8834.800000000001,7246.2,10123.75,0,30,5,15,0.0,1838.1,3025.2,2382.9
2025-04-16 15:07:44 (Turn 5: 00:11),E9535,5,Sell,NFLX,5,2877.5499999999997,5943.15,7351.85,4286.25,10229.4,0,30,0,15,0.0,1856.7,0.0,2429.55
2025-04-16 15:08:19 (Turn 6: 00:40),E9535,6,Sell,XOM,30,5943.15,7945.65,4465.65,2463.15,10408.8,0,0,0,15,0.0,0.0,0.0,2463.15
2025-04-16 15:08:37 (Turn 6: 00:23),E9535,6,Sell,PG,15,7945.65,10408.8,2463.15,0.0,10408.8,0,0,0,0,0.0,0.0,0.0,0.0
