timestamp,username,turn,action,ticker,quantity,cash_before,cash_after,stockportfolio_before,stockportfolio_after,Total_assets,total_TSLA_holding,total_XOM_holding,total_NFLX_holding,total_PG_holding,TSLA_value,XOM_value,NFLX_value,PG_value
2025-04-10 12:46:30 (Turn 1: 00:30),E4011,1,Buy,TSLA,1,10000.0,9662.2,0.0,337.8,10000.0,1,0,0,0,337.8,0.0,0.0,0.0
2025-04-10 12:46:33 (Turn 1: 00:27),E4011,1,Buy,TSLA,1,9662.2,9324.4,337.8,675.6,10000.000000000002,2,0,0,0,675.6,0.0,0.0,0.0
2025-04-10 12:46:34 (Turn 1: 00:26),E4011,1,Buy,TSLA,1,9324.4,8986.600000000002,675.6,1013.4,10000.000000000002,3,0,0,0,1013.4,0.0,0.0,0.0
2025-04-10 12:47:33 (Turn 2: 00:32),E4011,2,Buy,PG,15,8986.600000000002,6756.700000000003,1116.0,3345.9,10102.600000000002,3,0,0,15,1116.0,0.0,0.0,2229.9
2025-04-10 12:48:40 (Turn 3: 00:30),E4011,3,Sell,TSLA,3,6756.700000000003,7765.720000000003,3291.27,2282.25,10047.970000000005,0,0,0,15,0.0,0.0,0.0,2282.25
2025-04-10 12:48:45 (Turn 3: 00:25),E4011,3,Buy,XOM,120,7765.720000000003,376.12000000000353,2282.25,9671.85,10047.97,0,120,0,15,0.0,7389.599999999999,0.0,2282.25
2025-04-10 12:48:48 (Turn 3: 00:22),E4011,3,Sell,XOM,120,376.12000000000353,7765.720000000003,9671.85,2282.25,10047.970000000005,0,0,0,15,0.0,0.0,0.0,2282.25
2025-04-10 12:48:59 (Turn 3: 00:11),E4011,3,Sell,PG,15,7765.720000000003,10047.970000000005,2282.25,0.0,10047.970000000005,0,0,0,0,0.0,0.0,0.0,0.0
2025-04-10 12:49:06 (Turn 3: 00:03),E4011,3,Buy,XOM,120,10047.970000000005,2658.3700000000035,0.0,7389.599999999999,10047.970000000005,0,120,0,0,0.0,7389.599999999999,0.0,0.0
2025-04-10 12:49:28 (Turn 4: 00:46),E4011,4,Sell,XOM,120,2658.3700000000035,10010.770000000004,7352.400000000001,0.0,10010.770000000004,0,0,0,0,0.0,0.0,0.0,0.0
2025-04-10 12:49:44 (Turn 4: 00:30),E4011,4,Buy,PG,20,10010.770000000004,6833.570000000003,0.0,3177.2000000000003,10010.770000000004,0,0,0,20,0.0,0.0,0.0,3177.2000000000003
2025-04-10 12:50:42 (Turn 5: 00:37),E4011,5,Buy,PG,10,6833.570000000003,5213.870000000004,3239.4,4859.1,10072.970000000005,0,0,0,30,0.0,0.0,0.0,4859.1
2025-04-10 12:51:06 (Turn 5: 00:13),E4011,5,Buy,PG,30,5213.870000000004,354.7700000000032,4859.1,9718.2,10072.970000000005,0,0,0,60,0.0,0.0,0.0,9718.2
2025-04-10 12:51:44 (Turn 6: 00:40),E4011,6,Sell,PG,60,354.7700000000032,10207.370000000004,9852.6,0.0,10207.370000000004,0,0,0,0,0.0,0.0,0.0,0.0
